Fresh Fruit: $1.25
Spicy Chipotle Chicken: $12.75
Tostada: $12.50
Grilled Chicken Chimichurri: $15.00
Five Cheese and Fresh Tomato: $10.75
Spaghetti Bolognese: $50.00
Mushroom Pepperoni Sausage: $13.50
Sandwich: $115.00 - $215.00
The Works: $14.00
Grilled Veggie: $
Petite Wedge: $4.65
Quinoa and Arugula: $44.00
Italian Deli: $
Pear and Gorgonzola: $13.00
Fire-Roasted Chile Relleno: $10.50
Lettuce Wraps: $30.00 - $41.00
Sesame Ginger Chicken Dumplings: $25.00
Chicken Tequila Fettuccine: $52.00
Curly Mac ‘N’ Cheese: $5.75
Flavored Fresh Lemonade: NaN
Flavored Coladas: $4.50
California Club: $
White Corn Guacamole and Chips: $25.00
Pesto Cream Penne: $40.00
Margherita: $14.50
Dakota Smashed Pea and Barley: $6.25
Acqua Panna Natural Mineral Water: NaN
Asparagus and Arugula Salad: $4.95
Waldorf Chicken: $44.00
Jamaican Jerk Chicken: $13.50
Cranberry Cooler: NaN
Chicken Milanese: $16.00
Grilled Chicken Caesar: $
Chinese Chicken: $41.00
Asparagus and Spinach Fusilli: $44.00
Buttered Fusilli: $5.25
Classic Caesar: $34.00
Habanero Carnitas: $13.50
Roasted Artichoke and Spinach: $13.50
Kids Sundae: $1.00
Hawaiian: $12.75
Cedar Plank Salmon: $18.25
Moroccan-Spiced Chicken: $47.00
Fountain Beverages: $2.00
Roasted Veggie: $44.00
Sedona Tortilla: $6.25
Key Lime Pie: $37.00
Flavored Frozen Lemonade: $3.50
Fish Tacos: $11.50
Non-Fat Yogurt Smoothies: $4.75
Avocado Club Egg Rolls: $32.00
Red Velvet Cake: $55.00
Wild Mushroom: $12.50
Quinoa and Arugula Salad: $9.75
Flavored Iced Tea: NaN
Salad Lunch Box: $11.00
California Cobb: $46.00
Fusilli with Tomato Sauce: $5.25
Traditional Cheese: $5.00
Salted Caramel Pudding: $4.75
Brownie: $1.25
Tiramisu: $6.25
Two in a Bowl: $6.75
Grilled Chicken Caesar Sandwich: $11.25
Garlic Cream Fettuccine: $40.00
Grilled Veggie Sandwich: $11.00
California Veggie: $12.50
Fresh Lemonade: NaN
Kung Pao Spaghetti: $40.00
Trio: $135.00 - $255.00
Fusilli with Meat Sauce: $5.50
Freshly Brewed Iced Tea: NaN
Asparagus and Spinach Spaghettini: $11.50
Sicilian: $14.50
Belgian Chocolate Soufflé Cake: $6.25
Grilled Chicken Breast: $6.00
Jambalaya Fettuccine: $62.00
Hawaiian BBQ Chicken: $13.75
Includes Choice of a Fountain Beverage, Lemonade, Apple Juice, Milk or Chocolate Milk. Complimentary Drink Refills.: NaN
Tuscan Hummus: $28.00
Fountain Drinks: NaN
Mediterranean Focaccia: $2.65
Caramelized Peach: $40.00
Pasta: $150.00 - $195.00
Spinach Artichoke Dip: $32.00
Crispy Mac ‘N’ Cheese: $3.85
The Original BBQ Chicken Chopped: $45.00
Sandwich Lunch Box: $11.00
Tortilla Spring Rolls: $23.00
Thai Chicken: $13.50
Italian Deli Sandwich: $12.00
Acqua Panna Natural Spring Water: $3.50
Thai Crunch: $44.00
Pizza: $115.00 - $215.00
Butter Cake: $6.25
Sweets Platter: $22.00 - $40.00
California Club Sandwich: $12.00
Original BBQ Chicken: $5.75
The Meat Cravers: $14.50
Pepperoni: $12.00
Crispy Chicken: $6.25
Shrimp Scampi Zucchini Fettuccine: $14.25
Spicy Chicken Tinga Quesadilla: $22.00
Four Cheese Ravioli: $48.00
Chicken Piccata: $47.00
Carnitas Tacos: $11.50
Italian Chopped: $44.00
Fusilli Alfredo: $5.50
White Pizza: $11.75
CPK Salad: $5.50
The Original BBQ Chicken Pizza: $13.25
